date,revenue,meta_spend,google_spend,tiktok_spend,email_spend,influencer_spend,promo_flag,week_of_year,year
2022-01-03,148993.16,23677.43,10515.05,5238.12,2965.35,0,0,1,2022
2022-01-10,159231.42,24808.1,13891.57,5297.93,2534.7,0,0,2,2022
2022-01-17,171915.14,27772.37,10648.56,6113.56,1853.79,5000,0,3,2022
2022-01-24,173625.45,24349.16,11252.07,4264.52,1520.26,0,0,4,2022
2022-01-31,166421.99,18515.1,11109.34,5333.61,2118.22,0,0,5,2022
2022-02-07,165239.66,17851.11,10845.57,3922.95,2026.6,0,0,6,2022
2022-02-14,168255.61,14162.46,9917.74,4952.27,1425.31,0,0,7,2022
2022-02-21,166942.32,17946.97,11030.81,4348.47,1791.47,0,0,8,2022
2022-02-28,162433.72,18120.46,9537.85,4766.85,1693.61,0,0,9,2022
2022-03-07,167256.12,22926.48,10112.7,5591.76,1910.59,0,0,10,2022
2022-03-14,160547.17,17615.28,9902.99,3549.37,1210.52,0,0,11,2022
2022-03-21,163470.31,18603.09,10509.06,7992.95,1705.82,0,0,12,2022
2022-03-28,165017.36,17930.58,12780.68,3423.01,1817.53,0,0,13,2022
2022-04-04,151816.97,15662.64,8637.59,3188.43,972.38,0,0,14,2022
2022-04-11,155409.84,20285.65,11229.95,6824.54,1145.02,0,0,15,2022
2022-04-18,156558.32,19503.87,8969.81,6352.54,888.23,0,0,16,2022
2022-04-25,156649.1,19582.06,10149.43,6178.9,1419.18,0,0,17,2022
2022-05-02,168595.68,21181.23,11749.14,6262.91,2715.26,0,0,18,2022
2022-05-09,165324.8,25805.59,10763.31,5379.69,2950.71,0,0,19,2022
2022-05-16,169117.92,20196.3,9660.12,4129.85,1522.23,12000,0,20,2022
2022-05-23,177497.87,24173.71,10061.4,5667.1,1988.58,0,0,21,2022
2022-05-30,172268.97,27380.91,11495.13,4615.33,1085.97,5000,0,22,2022
2022-06-06,166355.29,16018.93,10124.0,7171.42,988.99,0,0,23,2022
2022-06-13,161521.78,16867.4,11109.66,5565.82,1483.34,0,0,24,2022
2022-06-20,166415.63,18199.3,10977.61,4625.83,1615.22,5000,0,25,2022
2022-06-27,166607.96,16993.05,10319.27,5459.67,1490.19,0,0,26,2022
2022-07-04,161868.62,14898.67,13153.65,6638.81,879.77,0,0,27,2022
2022-07-11,166474.31,18137.13,11682.46,5251.5,1473.26,0,0,28,2022
2022-07-18,159455.35,15875.39,9062.24,4941.43,1108.66,0,0,29,2022
2022-07-25,169894.78,18947.18,11312.67,6617.96,1700.9,8000,0,30,2022
2022-08-01,169272.34,16161.15,10503.26,6697.55,1609.98,5000,0,31,2022
2022-08-08,178417.31,21099.87,12056.32,5647.35,1218.04,12000,0,32,2022
2022-08-15,169900.2,16433.49,10450.2,5778.88,1345.84,0,0,33,2022
2022-08-22,165111.69,17355.88,11166.82,6911.18,1182.24,0,0,34,2022
2022-08-29,172487.98,19627.03,11825.38,4468.65,1481.2,8000,0,35,2022
2022-09-05,164510.19,15538.27,12224.98,4607.25,1786.54,0,0,36,2022
2022-09-12,164955.74,18454.92,10197.76,5718.45,1204.28,0,0,37,2022
2022-09-19,158672.0,20614.29,11102.39,6553.62,1651.21,0,0,38,2022
2022-09-26,157953.56,14785.03,11000.78,7417.82,1340.92,0,0,39,2022
2022-10-03,181337.33,18369.27,10861.23,9242.16,1262.14,5000,1,40,2022
2022-10-10,168357.79,18519.77,13318.85,8393.29,1467.89,0,0,41,2022
2022-10-17,167205.15,19563.65,11997.21,6944.56,1189.43,5000,0,42,2022
2022-10-24,163439.73,15526.1,10370.18,7233.61,1333.91,0,0,43,2022
2022-10-31,161453.47,15359.09,12587.76,5836.01,1140.64,0,0,44,2022
